"","source","target","ligand","receptor","aggregate_rank","mean_rank","call_cellchat.pval","call_cellchat.rank","cellphonedb.pvalue","cellphonedb.rank","sca.LRscore","sca.rank","interaction"
"61","Pvalb","Lamp5","Nxph1","Nrxn1",0.00307167211629369,1789.5,NA,5255,0,112.5,0.955306711883763,1,"Pvalb-Lamp5-Nxph1-Nrxn1"
"62","Pvalb","Lamp5","Vegfa","Itgb1",0.00342079791733413,180.833333333333,0,6.5,0.001,230,0.677787084951476,306,"Pvalb-Lamp5-Vegfa-Itgb1"
"63","Pvalb","Lamp5","Lamc1","Itga9",0.00409838942824577,148,0,6.5,0,112.5,0.661399594070433,325,"Pvalb-Lamp5-Lamc1-Itga9"
"64","Pvalb","Lamp5","Vegfa","Itga9",0.00448846208323161,151.333333333333,0,6.5,0,112.5,0.655929132514871,335,"Pvalb-Lamp5-Vegfa-Itga9"
"65","Pvalb","Lamp5","Nlgn1","Nrxn1",0.00767524785156704,1889.66666666667,NA,5255,0.827,411.5,0.951646009994991,2.5,"Pvalb-Lamp5-Nlgn1-Nrxn1"
"66","Vip","Lamp5","Nrg3","Egfr",0.000126274754967991,44.1666666666667,0,8,0,113.5,0.936804286964196,11,"Vip-Lamp5-Nrg3-Egfr"
"67","Vip","Lamp5","Lama3","Itga9",0.00263817758142736,134.166666666667,0,8,0,113.5,0.706372463446806,281,"Vip-Lamp5-Lama3-Itga9"
"68","Vip","Lamp5","Nrxn1","Nlgn1",0.0046004422036572,1808,NA,5309,0,113.5,0.959380626729745,1.5,"Vip-Lamp5-Nrxn1-Nlgn1"
"69","Sst","Pvalb","Nfasc","Cntnap1",7.66775251298181e-05,58.1666666666667,0,3.5,0,84,0.845826405010559,87,"Sst-Pvalb-Nfasc-Cntnap1"
"70","Sst","Pvalb","Ncam1","Fgfr2",0.00714189729738407,1810.66666666667,NA,5327,0,84,0.923674252379227,21,"Sst-Pvalb-Ncam1-Fgfr2"
"71","Sst","Pvalb","Ncam1","Robo1",0.00714189729738407,1807.33333333333,NA,5327,0,84,0.936355374692433,11,"Sst-Pvalb-Ncam1-Robo1"
"72","Sst","Pvalb","Efna5","Epha5",0.00714189729738407,1812.33333333333,NA,5327,0,84,0.914819907686161,26,"Sst-Pvalb-Efna5-Epha5"
"73","Sst","Pvalb","Efna5","Epha7",0.00714189729738407,1828.66666666667,NA,5327,0,84,0.856349439086903,75,"Sst-Pvalb-Efna5-Epha7"
"74","Sst","Pvalb","Efna5","Epha10",0.00714189729738407,1828.33333333333,NA,5327,0,84,0.856480664276224,74,"Sst-Pvalb-Efna5-Epha10"
"75","Sst","Pvalb","Efna5","Epha6",0.00714189729738407,1812,NA,5327,0,84,0.914958948540914,25,"Sst-Pvalb-Efna5-Epha6"
"76","Sst","Pvalb","Cntn1","Nrcam",0.00714189729738407,1814,NA,5327,0,84,0.90856488659744,31,"Sst-Pvalb-Cntn1-Nrcam"
"77","Sst","Pvalb","Cntn4","Ptprg",0.00714189729738407,1808.33333333333,NA,5327,0,84,0.928895127749509,14,"Sst-Pvalb-Cntn4-Ptprg"
